Height,Forearm
3,37.47333333
4,39.16666667
5,38.92666667
5,36.18333333
1.5,38.14333333
5,37.79333333
6,37.89666667
3,38.83666667
1.5,38.91
1,36.36333333
1,40.00333333
2,40.00333333
1,38.11666667
3,37.36666667
2.5,38.48
1,38.84333333
2.5,39.12
3,39.5
1,38.99666667
1.5,38.86
1,39.54
1,38.68
1.5,38.79666667
3,38.57333333
4,36.19333333
2,37.36333333
5,37.41666667
4.5,37.50666667
1.5,37.42
2,39.62
2,38.34666667
1.5,38.57333333
2,38.35
1.5,39.94666667
4,36.58
2,38.25
4,36.48
5,39.11
2.5,39.31
2,38.20666667
2,38.91666667
2.5,33.23
4,39.59666667
3,37.57666667
3,37.37666667
2,36.68333333
1.5,39.65666667
2,39.39
2,37.75333333
2.5,38.582
2,39.29
3,37.39
1.5,37.79666667
2,39.53666667
2.5,37.77333333
4,37.69333333
2,38.48666667
1.5,38.84333333
1.5,37.60666667
2,38.00333333
2.5,39.11666667
2,37.54333333
1.5,38.01333333
1.5,37.70333333
2,38.04333333
2.5,38.04
1.5,37.86666667
2,37.85666667
1,36.36333333
2,36.36333333
1.5,38.22666667
2,40.19
2,37.84
2,38.69333333
1.5,38.67
2,37.58666667
2,37.01
1,37.76666667
2,40.85
1.5,36.83333333
1.5,38.96666667
1,37.45333333
0.5,38.45
0.5,38.74666667
2,37.92
2,37.91666667
2.5,37.09666667
3,37.3
3,37.86333333
4,47.57
3,38.80666667
2.5,36.50666667
2,35.99666667
4,38.31
2,37.595
3,37.64
